,fecha_accidente,a_o_accidente,mes_accidente,dia_accidente,hora_accidente,gravedad_accidente,clase_accidente,sitio_exacto_accidente,cant_heridos_en_sitio_accidente,cantidad_accidentes,cant_muertos_en_sitio_accidente,Unnamed: 0,Latitud,Longitud
123,2023-03-04,2023,4,mon,1900-01-01 12:50:00,con heridos,choque,calle 90 carrera 59,1,1,,123,11.01406,-74.81769
124,2023-03-05,2023,5,wed,1900-01-01 13:40:00,con heridos,choque,calle 123 carrera 38,1,1,,124,10.97634,-74.7769
125,2023-03-05,2023,5,wed,1900-01-01 15:50:00,con heridos,choque,avenida circunvalar (calle 110) con cra 43,1,1,,125,10.93628,-74.83451
126,2023-03-05,2023,5,wed,1900-01-01 17:50:00,con heridos,choque,carrera 4 calle 45b,1,1,,126,10.93835,-74.80019
127,2023-03-05,2023,5,wed,1900-01-01 07:00:00,con heridos,choque,via 40 entrada a las florez,1,1,,127,11.03705,-74.81689
128,2023-03-05,2023,5,wed,1900-01-01 20:35:00,con heridos,choque,carrera 49e con calle 102,2,1,,128,11.01118,-74.83493
129,2023-03-05,2023,5,wed,1900-01-01 08:48:00,con heridos,caida ocupante,carrera 45 calle 53,1,1,,129,10.98767,-74.78966
130,2023-03-06,2023,6,sat,1900-01-01 14:30:00,con heridos,choque,carrera 11 calle 21,2,1,,130,10.95082,-74.77567
131,2023-03-06,2023,6,sat,1900-01-01 17:50:00,con heridos,choque,calle 47 con carrera 23,2,1,,131,10.96635,-74.79287
132,2023-03-06,2023,6,sat,1900-01-01 21:20:00,con heridos,atropello,carrera 3 sur calle 49,3,1,,132,10.93589,-74.80343
133,2023-03-06,2023,6,sat,1900-01-01 23:20:00,con heridos,choque,carrera 14 calle 45d,1,1,,133,10.95565,-74.80059
134,2023-03-07,2023,7,mon,1900-01-01 14:00:00,con heridos,choque,via 40 #77-67,1,1,,134,-19.84099,-43.91038
135,2023-03-07,2023,7,mon,1900-01-01 14:40:00,con heridos,choque,calle 75 con carrera 66,1,1,,135,11.00749,-74.79698
136,2023-03-07,2023,7,mon,1900-01-01 04:10:00,con heridos,choque,carrera 13 calle 107,3,1,,136,10.96669,-74.83535
137,2023-03-07,2023,7,mon,1900-01-01 21:30:00,con heridos,choque,calle 37 carrera 24,1,1,,137,10.96442,-74.78617
138,2023-03-08,2023,8,thu,1900-01-01 15:15:00,con heridos,choque,calle 45b con carrera 22,1,1,,138,10.9645,-74.79262
139,2023-03-08,2023,8,thu,1900-01-01 16:40:00,con heridos,choque,carrera 4 calle 33,2,1,,139,10.9397,-74.78552
140,2023-03-08,2023,8,thu,1900-01-01 18:00:00,con heridos,choque,calle 53d carrera 24,1,1,,140,10.97082,-74.79845
141,2023-03-08,2023,8,thu,1900-01-01 06:10:00,con heridos,choque,carrera 51b calle 87 y 90,3,1,,141,11.00738,-74.82069
142,2023-03-08,2023,8,thu,1900-01-01 09:00:00,con heridos,choque,cra 50 con calle 48,1,1,,142,10.9878,-74.78721
143,2023-03-08,2023,8,thu,1900-01-01 09:00:00,con muertos,choque,calle 110 cra 6,0,1,1,143,10.94429,-74.80727
